can_fly,Class,Order,phylo_dist,Family,Genus.species,Common Name,Typical_Diet,Mass g (mean/median from study),mass-citation-if-not-from-retention-study,Food in Feeding Trial,Feeding.Trial.Food.Cat,N_individuals,N_trials,retention metric description,Minimum (min),IQR_1,Median (min),Mean (min),IQR_3,Maximum (min),SD,SE,mrt (min),mrt_sd,mrt_se,Retention.Citation,Notes,includes keywords,original submision
Y,Mammalia,Chiroptera,188.00000000,Phyllostomidae,Carollia perspicillata,Seba's short-tailed bat,frugivore/nectarivore,17.30000000,mean as reported in paper,"dye introduced through intubation, then track by lethal sampling at periodic intervals",unknown,5,1,"5 bats killed at 5 diff time points; first site of dye in colon; reported value at death in which ""some dye was still visible"" in all guts",,,,120.00000000,,,,,,,,Klite 1965,bats killed at 120 still had some dye in colon,,Yes
Y,Mammalia,Chiroptera,188.00000000,Molossidae,Molossus molossus,Velvety free-tailed bat,insectivore,10.70000000,mean as reported in paper,"dye introduced through intubation, then track by lethal sampling at periodic intervals",unknown,5,1,"5 bats killed at 5 diff time points; first site of dye in colon; reported value at death in which ""some dye was still visible"" in all guts",,,,120.00000000,,,,,,,,Klite 1965,bats killed at 120 still had some dye in colon; formerly called Molossus major,,Yes
Y,Mammalia,Chiroptera,188.00000000,Mormoopidae,Pteronotus rubiginosus,Parnell's mustached bat,insectivore,24.10000000,mean as reported in paper,"dye introduced through intubation, then track by lethal sampling at periodic intervals",unknown,5,1,"5 bats killed at 5 diff time points; first site of dye in colon; reported value at death in which ""some dye was still visible"" in all guts",,,,120.00000000,,,,,,,,Klite 1965,bats killed at 120 still had some dye in colon; formerly called Chilonycteris rubiginosa,,Yes
N,Reptilia,Testudines,637.90000000,Cheloniidae,Caretta caretta,Loggerhead sea turtle,omnivore,10187.50000000,average of reported weights,60% weight-by-volume suspension,unknown,8,1,first excretia of marker,11520.00000000,16200.00000000,22320.00000000,25560.00000000,28080.00000000,57600.00000000,14900.45000000,,,,,Di Bello et al 2006,calculated all values from table; Turtles in this study had GI disease which could exacerbate these durations,,Yes
Y,Aves,Psittaciformes,637.90000000,Psittacidae,Psittacus erithacus,African grey parrot,omnivore,446.00000000,reported mean,30% weight-by-volume suspension,unknown,8,,first excretia of marker,240.00000000,,,262.50000000,,360.00000000,44.64000000,,,,,Kubiak and Forbes 2012,,,Yes
N,Reptilia,Squamata,637.90000000,Pythonidae,Python regius,Ball python,carnivore,1300.00000000,,35% weight-by-volume suspension,unknown,6,,first excretia of marker (barium sulfate),,,,2880.00000000,,,910.20000000,,,,,Banzato et al. 2012,measurements correspond to end of small intestine transit time (i.e. all material is now in large intestine) so should be somewhat shorter than full gut transit,,Yes
N,Reptilia,Squamata,637.90000000,Pythonidae,Python regius,Ball python,carnivore,1300.00000000,,25% weight-by-volume suspension,unknown,6,,first excretia of marker (barium sulfate),,,,3360.00000000,,,744.00000000,,,,,Banzato et al. 2012,,,Yes
N,Reptilia,Squamata,637.90000000,Pythonidae,Python regius,Ball python,carnivore,1300.00000000,,45% weight-by-volume suspension,unknown,6,,first excretia of marker (barium sulfate),,,,3120.00000000,,,588.00000000,,,,,Banzato et al. 2012,,,Yes
N,Aves,Struthioniformes,637.90000000,Struthionidae,Struthio camelus,common ostrich,omnivore,56558.00000000,(averaged weights included chicks),25-100% weight-by-volume suspension,unknown,10,,first excretia of marker,840.00000000,,,1080.00000000,,1320.00000000,,,,,,Wagner et al 2003,"exact transit times not reported because feces passed during the night; 7 individuals, but counting each trial as an individual (see paper)",,Yes
N,Reptilia,Squamata,637.90000000,Agamidae,Pogona vitticeps,Bearded dragon,omnivore,243.40000000,average of reported weights,"35% weight-by-volume suspension; leafy greens, crickets, mealworms",protein,7,,visible marker in colon,720.00000000,,1860.00000000,,,4320.00000000,,,,,,Grosset et al 2014,"""median time for contrast to reach the colon""",,Yes
N,Mammalia,Carnivora,188.00000000,Canidae,Canis familiaris,domestic dog,carnivore,10000.00000000,reported mean,meat-heavy dog food with layered protein,protein,4,4,"TT: transit time, time from feeding to mean marker excretion",,,,1983.00000000,,,,,,,,Burrows et al 1962,took mean of fiber-heavy and pure protein diet,,Yes
N,Mammalia,Carnivora,188.00000000,Canidae,Canis familiaris,domestic dog,carnivore,15500.00000000,median of range reported in paper (13-18kg),"eggs, bacon, milk, butter, bread",protein,6,1,Gastrointestinal transit time: from ingestion to first appearance of marker in feces,,,,1809.00000000,,,222.00000000,,,,,Koziolek et al 2019,"took reported average of control ""fed"" and ""fasted"" diets",,Yes
N,Mammalia,Carnivora,188.00000000,Canidae,Canis familiaris,domestic dog,carnivore,19300.00000000,reported mean of control dogs in study,canned food mixtures,protein,8,4,Whole gut transit time: average time from ingestion to defecation,,,,1554.00000000,,,264.00000000,,,,,Rolfe et al 2002,used mean reported from controls for all 4 diets,,Yes
N,Mammalia,Carnivora,188.00000000,Canidae,Canis familiaris,domestic dog,carnivore,11600.00000000,reported median,pH pill/marker ,protein,7,3,transit time: first excretia of marker,244.00000000,,1070.00000000,,,1430.00000000,439.00000000,,,,,Tolbert et al. 2022,reported median for pre-feeding group,,Yes
N,Mammalia,Carnivora,188.00000000,Canidae,Canis familiaris,domestic dog,carnivore,11600.00000000,reported median,pet food with pH pill/marker ,protein,7,3,transit time: first excretia of marker,539.00000000,,1708.00000000,,,2743.00000000,513.00000000,,,,,Tolbert et al. 2022,reported median for post-feeding group,,Yes
N,Reptilia,Testudines,637.90000000,Cheloniidae,Caretta caretta,Loggerhead sea turtle,omnivore,13300.00000000,average of reported range for 22 turtles: 4.4-22.2 kg,foam marker inside fish,protein,22,1,first marker in feces (T1),7200.00000000,,,13032.00000000,,23040.00000000,4392.00000000,,,,,Valente et al 2008,,,Yes
N,Reptilia,Squamata,637.90000000,Cordylidae,Cordylus melanotus,common crag lizard,omnivore,47.60000000,"took mean from masses off of plot: 29.52, 35.72, 37.93, 39.59, 39.45, 37.38, 42.34, 44.28, 44.14, 45.38, 49.66, 50.62, 56.41, 56.69, 55.03, 54.62, 56.83, 64.41, 65.24",colored beads in mealworms,protein,19,1,transit time: time from beginning of feeding to first sight of marker in feces,3672.00000000,5810.00000000,8006.40000000,8657.43000000,10260.00000000,19641.60000000,4017.54000000,,,,,McConnachie and Alexander 2004,"ripped transit time dots from Fig 2 across all temperature; took quantile of whole dataset (days): 8.05, 6.07,  7.08,  8.56, 11.01, 13.64,  6.02,  4.68,  3.62,  3.94,  3.99,  4.08,  3.06,  2.55,  4.96,  5.56,  5.60,  4.59  7.17",,Yes
Y,Aves,Galliformes,637.90000000,Phasianidae,Coturnix coturnix japonica,Japanese quail,omnivore,144.00000000,median of female + male,four treatments of different energy quality (low and high)  nitrogen in a sort of meal mash w/ ferrix oxide,protein,64,1,first excretia of marker,52.00000000,,,78.00000000,,105.25000000,,6.19000000,,428.00000000,2.00000000,Nobrega et al 2020,,,Yes
Y,Mammalia,Chiroptera,188.00000000,Vespertilionidae,Eptesicus fuscus,Big Brown Bat,insectivore,17.23000000,,"cottage cheese, banana, hard-boiled egg mixed with 10% barium sulfate",protein,22,1,"TT: transit time, time from feeding to first appearance of marker in feces",90.00000000,,,122.00000000,,,16.00000000,,,,,Luckens et al. 1971,reported mean,,Yes
Y,Mammalia,Chiroptera,188.00000000,Vespertilionidae,Eptesicus serotinus,Serotine bat,insectivore,23.10000000,reported mean,fluorescent mealworm,protein,5,1,Transit time: time from feeding marker to first appearance of marker in feces,40.00000000,,88.00000000,,,112.00000000,,,174.00000000,,,Roswag et al. 2012,as reported in table 2,,Yes
N,Mammalia,Carnivora,188.00000000,Felidae,Felis catus,domestic cat,carnivore,4200.00000000,mean reported in paper,cat food with some fiber mixed in,protein,32,1,Gastrointestinal transit time: from ingestion to last appearance of marker in feces,,,,1236.00000000,,,,,,,,Loureiro et al 2017,took mean of control trials as reported in paper,,Yes
N,Mammalia,Carnivora,188.00000000,Felidae,Felis catus,domestic cat,carnivore,3395.00000000,mean of young and old in paper,canned cat food with chromium marker,protein,12,4,Total transit: time from ingestion to first appearance of marker in feces,,,,1865.10000000,,,595.80000000,,,,,Peachey et al 2000,took mean of young and adult cats,,Yes
N,Mammalia,Carnivora,188.00000000,Felidae,Felis catus,domestic cat,carnivore,3900.00000000,reported mean,pet food with pH pill/marker ,protein,6,3,transit time: first excretia of marker,926.00000000,,2263.50000000,,,6563.00000000,,,,,,Telles et al. 2022,took average from the pre and post-feeding periods since the difference was not significant,,Yes
N,Mammalia,Peramelemorphia,320.00000000,Peramelidae,Isoodon macrourus,northern brown bandicoot,omnivore,1368.00000000,mean of initial and final masses,Co-EDTA or Cr-cell walls in protein slush,protein,5,1,transit time: time from beginning of feeding to first sight of marker in feces,,,,351.00000000,,,48.00000000,,1626.00000000,312.00000000,,McClelland et al 1999,mean of two markers presented,,Yes
N,Mammalia,Carnivora,188.00000000,Mustelidae,Lutra canadensus,Northern river otter,carnivore,9500.00000000,mean of 9.3 before trial and 9.7 kg after,"mixed diet mink food, poultry, eggs",protein,12,1,transit time: time from beginning of feeding to first sight of marker in feces,135.00000000,,,202.00000000,,300.00000000,8.80000000,,,,,Davis et al 1992,"reported as Lutra cacadensis, now Lontra canadensis",,Yes
N,Mammalia,Rodentia,0.00000000,Sciuridae,Marmota caligata,hoary marmot,folivore,2308.00000000,,peanut butter w/Co-EDTA,protein,6,,transit time,,,,780.00000000,,,150.00000000,,1488.00000000,192.00000000,,Hume et al 1993,"2 equations for mrt, marmots are juvenilles born in the last year",yes,No
N,Mammalia,Rodentia,0.00000000,Sciuridae,Marmota caligata,hoary marmot,folivore,2308.00000000,,peanut butter w/cell wall constituents,protein,6,,transit time,,,,1026.00000000,,,204.00000000,,1734.00000000,204.00000000,,Hume et al 1993,"2 equations for mrt, marmots are juvenilles born in the last year",yes,No
N,Mammalia,Rodentia,0.00000000,Cricetidae,Microtus townsendii,Townsend vole,folivore,54.90000000,,peanut butter w/Co-EDTA,protein,6,,transit time,,,,102.00000000,,,18.00000000,,888.00000000,114.00000000,,Hume et al 1993,2 equations for mrt,yes,No
N,Mammalia,Rodentia,0.00000000,Cricetidae,Microtus townsendii,Townsend vole,folivore,54.90000000,,peanut butter w/cell wall constituents,protein,6,,transit time,,,,102.00000000,,,24.00000000,,786.00000000,144.00000000,,Hume et al 1993,2 equations for mrt,yes,No
N,Mammalia,Carnivora,188.00000000,Mustelidae,Mustela putorius furo,European ferret,carnivore,1357.00000000,"reported mean of pre-male and female ferret masses in the study, not post","mixed diet mink food, poultry, eggs with dye",protein,18,1,transit time: time from beginning of feeding to first sight of marker in feces,148.00000000,,,181.80000000,,219.00000000,,6.70000000,,,,Bleavins et al 1981,,,Yes
Y,Mammalia,Chiroptera,188.00000000,Vespertilionidae,Myotis bechsteinii,Bechstein's bat,insectivore,8.00000000,reported mean,fluorescent mealworm,protein,5,1,Transit time: time from feeding marker to first appearance of marker in feces,71.00000000,,95.00000000,,,124.00000000,,,309.00000000,,,Roswag et al. 2012,as reported in table 2,,Yes
Y,Mammalia,Chiroptera,188.00000000,Vespertilionidae,Myotis daubentonii,Daubenton's bat,insectivore,7.60000000,reported mean,fluorescent mealworm,protein,17,1,Transit time: time from feeding marker to first appearance of marker in feces,32.00000000,,90.00000000,,,128.00000000,,,182.00000000,,,Roswag et al. 2012,as reported in table 2,,Yes
Y,Mammalia,Chiroptera,188.00000000,Vespertilionidae,Myotis lucifugus,little brown bat,insectivore,9.50000000,averaged range from https://animaldiversity.org/accounts/Myotis_lucifugus/,moths and mealworms,protein,2,8,Food Transit time (time from 5 min feeding event to passage of the actual insect; averaged across all events),35.00000000,62.25000000,103.00000000,102.50000000,139.75000000,170.00000000,46.22410000,,,,,Buchler 1975; trials was currently listed as the total number of trials between the 2 individuals (16); changed to trials per individual (8 trials each); self calculated values based on data table,,,Yes
Y,Mammalia,Chiroptera,188.00000000,Vespertilionidae,Myotis myotis,Greater mouse-eared bat,insectivore,25.80000000,reported mean,fluorescent mealworm,protein,8,1,Transit time: time from feeding marker to first appearance of marker in feces,36.00000000,,55.00000000,,,71.00000000,,,123.00000000,,,Roswag et al. 2012,as reported in table 2,,Yes
Y,Mammalia,Chiroptera,188.00000000,Vespertilionidae,Myotis myotis,Greater mouse-eared bat,insectivore,21.00000000,,cockroaches with basic fuchsin dye solution,protein,9,4,sight of dye in feces,25.00000000,,44.00000000,,,77.00000000,,,,,,Stalinski 1994,median taken as t50% (passage of 50% of food),,Yes
Y,Mammalia,Chiroptera,188.00000000,Vespertilionidae,Myotis nattereri,Natterer's bat,insectivore,6.80000000,reported mean,fluorescent mealworm,protein,3,1,Transit time: time from feeding marker to first appearance of marker in feces,39.00000000,,77.00000000,,,114.00000000,,,188.00000000,,,Roswag et al. 2012,as reported in table 2,,Yes
N,Mammalia,Carnivora,188.00000000,Mustelidae,Neovison vison,American mink,carnivore,1347.50000000,"reported mean of pre-male and female mink masses in the study, not post","mixed diet mink food, poultry, eggs with dye",protein,18,1,transit time: time from beginning of feeding to first sight of marker in feces,138.00000000,,,186.80000000,,235.00000000,,9.72000000,,,,Bleavins et al 1981,"reported as Mustela vison (""mink""); assumed American mink, now Neovison vison",,Yes
N,Mammalia,Carnivora,188.00000000,Mustelidae,Neovison vison,American mink,carnivore,8350.00000000,median of range: https://animaldiversity.org/accounts/Neovison_vison/,"mixed diet mink food, poultry, eggs; half wet and half dry with carmine dy",protein,1,4,transit time: time from beginning of feeding to first sight of marker in feces,62.00000000,,,142.00000000,,215.00000000,,,,,,Sibbald et al 1962,"unclear how many mink were assayed; only total number of observations reported at end; noted no difference by sex or diet type; reported as ""standard dark mink"": assumed American Mink (Neovison vison) because authors were in Canada",,Yes
Y,Mammalia,Chiroptera,188.00000000,Vespertilionidae,Nyctalus leisleri,Lesser Noctule,insectivore,12.50000000,reported mean,fluorescent mealworm,protein,3,1,Transit time: time from feeding marker to first appearance of marker in feces,167.00000000,,204.00000000,,,250.00000000,,,259.00000000,,,Roswag et al. 2012,as reported in table 2,,Yes
Y,Mammalia,Chiroptera,188.00000000,Vespertilionidae,Nyctalus noctula,Noctule,insectivore,27.00000000,https://animaldiversity.org/accounts/Nyctalus_noctula/,"mixed diet dog food, beetles, mealworms",protein,1,1,very unclear methods; paper is a natural history report based on observations,,,,28.00000000,,,,,,,,Cranbrook 1965,very unclear methods; this paper is an old natural history report,,Yes
Y,Mammalia,Chiroptera,188.00000000,Vespertilionidae,Nyctalus noctula,Noctule,insectivore,27.50000000,reported mean,fluorescent mealworm,protein,9,1,Transit time: time from feeding marker to first appearance of marker in feces,41.00000000,,70.00000000,,,95.00000000,,,295.00000000,,,Roswag et al. 2012,as reported in table 2,,Yes
Y,Mammalia,Chiroptera,188.00000000,Vespertilionidae,Nyctophilus gouldi,Gould's long-eared bat,insectivore,9.00000000,median of female + male range combined,moths and mealworms,protein,36,,Mean Passage Time: midpoint of feeding to midpoint of defecation event,,,,56.33333300,,,,0.69966667,,,,Grant 1988,"calculated mean of males, pregnant females and non-lactating females",,Yes
Y,Mammalia,Chiroptera,188.00000000,Vespertilionidae,Pipistrellus pipistrellus,Common pipistrelle,insectivore,5.10000000,reported mean,fluorescent mealworm,protein,7,1,Transit time: time from feeding marker to first appearance of marker in feces,35.00000000,,69.00000000,,,93.00000000,,,254.00000000,,,Roswag et al. 2012,as reported in table 2,,Yes
Y,Mammalia,Chiroptera,188.00000000,Vespertilionidae,Plecotus auritus,Brown long-eared bat,insectivore,6.90000000,reported mean,fluorescent mealworm,protein,6,1,Transit time: time from feeding marker to first appearance of marker in feces,82.00000000,,92.00000000,,,103.00000000,,,132.00000000,,,Roswag et al. 2012,as reported in table 2,,Yes
N,Reptilia,Squamata,637.90000000,Lacertidae,Podarcis erhardii,Aegean wall lizard,carnivore,5.78000000,reported mean,plastic marker in mealworm,protein,47,1,Gut Passage Time: time from feeding to first appearance of marker in feces,,,,2600.00000000,,,,,,,,Sagonas et al 2017,"mean was taken of values across three different stages of tail regeneration (day 0, 15, 90): 41,49,40 hrs",,Yes
N,Mammalia,Rodentia,0.00000000,Sciuridae,Spermophilus columbianus,Columbian ground squirrel,folivore,576.00000000,https://animaldiversity.org/accounts/Spermophilus_columbianus/,peanut butter w/Co-EDTA,protein,6,,transit time,,,,660.00000000,,,102.00000000,,1350.00000000,132.00000000,,Hume et al 1993,2 equations for mrt,yes,No
N,Mammalia,Rodentia,0.00000000,Sciuridae,Spermophilus columbianus,Columbian ground squirrel,folivore,576.00000000,https://animaldiversity.org/accounts/Spermophilus_columbianus/,peanut butter w/cell wall constituents,protein,6,,transit time,,,,816.00000000,,,60.00000000,,1326.00000000,66.00000000,,Hume et al 1993,2 equations for mrt,yes,No
N,Mammalia,Rodentia,0.00000000,Sciuridae,Tamias amoenus,yellow-pine chipmunk,omnivore,61.90000000,,peanut butter w/Co-EDTA,protein,6,,transit time,,,,180.00000000,,,42.00000000,,762.00000000,60.00000000,,Hume et al 1993,2 equations for mrt,yes,No
N,Mammalia,Rodentia,0.00000000,Sciuridae,Tamias amoenus,yellow-pine chipmunk,omnivore,61.90000000,,peanut butter w/cell wall constituents,protein,6,,transit time,,,,390.00000000,,,126.00000000,,846.00000000,72.00000000,,Hume et al 1993,2 equations for mrt,yes,No
N,Reptilia,Squamata,637.90000000,Scincidae,Trachylepis margaritifer,Rainbow Skinks,carnivore,37.30000000,mean as reported in paper,dead cricket containing barium sulphate liquid suspension,protein,15,1,Gut Passage Time: time from feeding to first appearance of marker in feces,,,,2715.00000000,,,1392.60000000,,,,,Miller et al 2012,took mean from control study as reported,,Yes
Y,Mammalia,Chiroptera,188.00000000,Vespertilionidae,Vespertilio murinus,Parti-colored bat,insectivore,14.30000000,reported mean,fluorescent mealworm,protein,5,1,Transit time: time from feeding marker to first appearance of marker in feces,98.00000000,,102.00000000,,,115.00000000,,,242.00000000,,,Roswag et al. 2012,as reported in table 2,,Yes
Y,Aves,Passeriformes,637.90000000,Zosteropidae,Zosterops pallidus,Cape White-eye,omnivore,10.19000000,initial body mass,mealworms,protein,10,1,transit time: time from beginning of feeding to first sight of marker in feces,,,,11.72000000,,,1.42000000,,,,,Brown and Downs 2003,,,Yes
N,Mammalia,Artiodactyla,188.00000000,Camelidae,Lama glama,llama,folivore,2500.00000000,https://extension.psu.edu/how-well-are-they-growing (<1 month old cria),45% weight-by-volume suspension; milk with barium,protein,6,1,first excretia of marker,2880.00000000,,,3300.00000000,,4320.00000000,,,,,,Timm et al 1999,"study was terminated when barium still visible in colon of all crias, so actual duration is likely much longer",,Yes
N,Chondrichthyes,Orectolobiformes,924.80000000,Hemiscylliidae,Chiloscyllium plagiosum ,White-spotted bamboo sharks,carnivore,2310.00000000,,98% weight-by-volume suspension,meat,8,,first excretia of marker,1500.00000000,,,2394.00000000,,2880.00000000,198.00000000,,,,,Joblon et al 2020,,,Yes
N,Chondrichthyes,Myliobatiformes,924.80000000,Rhinopteridae,Rhinoptera bonasus ,cownose rays,carnivore,10000.00000000,,98% weight-by-volume suspension,meat,8,,first excretia of marker,1380.00000000,,,1380.00000000,,1380.00000000,0.00000000,,,,,Joblon et al 2020,,,Yes
N,Reptilia,Squamata,637.90000000,Viperidae,Atheris nitscheri,Great Lakes bush viper,carnivore,,,mice,meat,3,,transit time,,,,10368.00000000,,,288.00000000,,,,,Lillywhite et al 2002,"measured ""gut passage time"" same as transit time (first pass of markers in feces)",yes,No
N,Reptilia,Squamata,637.90000000,Viperidae,Bitis arietans,puff ader,carnivore,945.40000000,,mice,meat,5,,transit time,,,,42480.00000000,,,6912.00000000,,,,,Lillywhite et al 2002,"measured ""gut passage time"" same as transit time (first pass of markers in feces)",yes,No
N,Reptilia,Squamata,637.90000000,Viperidae,Bitis gabonica,Gaboon viper,carnivore,1172.00000000,,mice,meat,8,,transit time,,,,165600.00000000,,,31680.00000000,,,,,Lillywhite et al 2002,"measured ""gut passage time"" same as transit time (first pass of markers in feces)",yes,No
Y,Aves,Accipitriformes,637.90000000,Accipitridae,Buteo jamaicensis,Red-tailed hawks,carnivore,1009.50000000,https://animaldiversity.org/accounts/Buteo_jamaicensis/,30% weight-by-volume suspension; mice,meat,9,,first excretia of marker,30.00000000,,,100.00000000,,180.00000000,52.00000000,,,,,Doss et al 2017b,,,Yes
Y,Aves,Falconiformes,637.90000000,Falconidae,Caracara plancus,Southern crested caracara,carnivore,1348.00000000,"CRC Handbook of Avian Body Masses, 2nd Edition by John B. Dunning Jr. (Editor). CRC Press (2008), ISBN 978-1-4200-6444-5.",100% weight-by-volume suspension; fed three chicks daily?,meat,6,,first excretia of marker,520.00000000,,,670.00000000,,730.00000000,80.50000000,,,,,Santos et al. 2011,reported in tabela 2; self calculated SD,,Yes
N,Reptilia,Squamata,637.90000000,Boidae,Python molurus,Indian python,carnivore,91000.00000000,https://animaldiversity.org/accounts/Python_molurus/,mice,meat,7,,transit time,,,,50400.00000000,,,10800.00000000,,,,,Lillywhite et al 2002,"measured ""gut passage time"" same as transit time (first pass of markers in feces)",yes,No
N,Aves,Sphenisciformes,637.90000000,Spheniscidae,Spheniscus demersus,African penguin,carnivore,3100.00000000,https://animaldiversity.org/accounts/Spheniscus_demersus/,30% weight-by-volume suspension; fish,meat,12,,first excretia of marker,300.00000000,,,1056.00000000,,2160.00000000,,,,,,Kline et al 2020,,,Yes
Y,Aves,Strigiformes,637.90000000,Strigidae,Strix varia,Barred owl,carnivore,790.00000000,reported mean,30% weight-by-volume suspension; mice,meat,12,,first excretia of marker,5.00000000,19.00000000,60.00000000,54.58333300,60.00000000,120.00000000,37.92686300,,,,,Doss et al. 2017,calculated mean and st dev from table; other values were reported,,Yes
N,Reptilia,Squamata,637.90000000,Boidae,Corallus caninus,emerald tree boa,carnivore,1500.00000000,https://livingrainforest.org/learning-resources/emerald-tree-boa,mice,meat,8,,transit time,,,,36576.00000000,,,5904.00000000,,,,,Lillywhite et al 2002,"measured ""gut passage time"" same as transit time (first pass of markers in feces)",yes,No
N,Reptilia,Squamata,637.90000000,Colubridae,Elaphe obsoleta,black rat snake,carnivore,500.00000000,,mice + plastic markers,meat,10,,transit time,,,,3744.00000000,,,288.00000000,,,,,Lillywhite et al 2002,"measured ""gut passage time"" same as transit time (first pass of markers in feces)",yes,No
N,Reptilia,Squamata,637.90000000,Colubridae,Uromacer oxyrhynchus,pointed snake,carnivore,,,mice,meat,2,,transit time,,,,2592.00000000,,,288.00000000,,,,,Lillywhite et al 2002,"measured ""gut passage time"" same as transit time (first pass of markers in feces)",yes,No
N,Mammalia,Carnivora,188.00000000,Canidae,Canis familiaris,domestic dog,carnivore,11550.00000000,average of reported range (9-14.1),chopped up chick with marker capsules,meat,6,1,aTTT: total transit: time from ingestion to excretion,,,,1830.00000000,,,630.00000000,,1245.00000000,267.00000000,,Cuyper at al 2017,calculated mean of fine and coarse mash diet,,Yes
N,Reptilia,Testudines,637.90000000,Cheloniidae,Caretta caretta,Loggerhead sea turtle,omnivore,14380.00000000,average of 8 total in summer experiment: 6 subadults and 2 juv,BIPS capsules in fish,meat,8,1,first marker in feces (T1),,,,19080.00000000,,33120.00000000,,,,,,Valente et al 2008,,,Yes
N,Reptilia,Testudines,637.90000000,Cheloniidae,Chelonia mydas,green sea turtle,omnivore,7500.00000000,reported mean,"vegetables, fish, sardines, vitamins with plastic markers",meat,5,1,transit time: time ingestion to first excretia of marker,,,,21024.00000000,,,5184.00000000,,,,,Gonzales-Paredes et al. 2021,reported mean for inorganic marker group,,Yes
N,Reptilia,Testudines,637.90000000,Cheloniidae,Chelonia mydas,green sea turtle,omnivore,4700.00000000,reported mean,"vegetables, fish, sardines, vitamins with corn as marker",meat,8,1,transit time: time ingestion to first excretia of marker,,,,9547.20000000,,,4752.00000000,,,,,Gonzales-Paredes et al. 2021,reported mean for organic marker group,,Yes
N,Mammalia,Artiodactyla,188.00000000,Monodontidae,Delphinapterus leucas,beluga whale,carnivore,718333.33330000,"mean of 1 male and 2 females: 885,726,544 kg",fish with iron oxide marker,meat,3,4,Initial Gastrointestinal Passage (IPT): time from feeding to first poop,8400.00000000,11295.00000000,12360.00000000,12180.00000000,12960.00000000,15480.00000000,1860.00000000,,,,,Mazzaro et al 2011,"taken as the mean/SD and IQR of all reported means for all three whales across 6 diet regimens (study finds no difference among diets in IPT): 257,217,207,210,192,231,166,213,258,169,187,154,205,196,140,195,213,244 hrs",,Yes
N,Reptilia,Testudines,637.90000000,Chelidae,Emydura macquarii,Australian short-necked turtle,omnivore,4000.00000000,mass as reported in paper,fish with plastic marker,meat,8,1,transit time: time ingestion to first excretia of marker,,,,4770.00000000,,,270.00000000,,7215.00000000,1245.00000000,,Spencer et al 1998,mean MGT as reported in paper averaged for 20C and 30C,,Yes
N,Mammalia,Carnivora,188.00000000,Mustelidae,Martes melampus,Japanese marten,omnivore,1400.00000000,median of range reported in paper (range: 1-1.8 kg),seeds placed in dead chicks,meat,4,1,Gut Passage Time: mean of eating to time of first sighting in feces,36.00000000,,,444.00000000,,3102.00000000,,,,,,Tsuji et al 2016,mean as reported,,Yes
N,Mammalia,Peramelemorphia,320.00000000,Peramelidae,Perameles nasuta,long-nosed bandicoot,omnivore,795.00000000,,mealworms +  beef w/Co-EDTA,meat,6,,transit time,,,,462.00000000,,,36.00000000,,1416.00000000,186.00000000,,Moyle et al 1995,"no sig diff between transit times of the markers, but sig diff for mrt",no,No
N,Mammalia,Peramelemorphia,320.00000000,Peramelidae,Perameles nasuta,long-nosed bandicoot,omnivore,795.00000000,,mealworms +  beef w/cell wall constituents,meat,6,,transit time,,,,465.00000000,,,0.65000000,,708.00000000,102.00000000,,Moyle et al 1995,"no sig diff between transit times of the markers, but sig diff for mrt",no,No
N,Mammalia,Cetacea,188.00000000,Delphinidae,Tursiops truncatus,bottlenosed dolphin,carnivore,186000.00000000,,herring and mackerel fish w/red dye,meat,8,,transit time,,,,235.62500000,,,,,,,,Kastelein et al 2003b,initial passage time: first appearance of dye in feces; young dolphins; N= total measurements,yes,No
Y,Aves,Passeriformes,637.90000000,Meliphagidae,Acanthagenys refogularis,spiny cheeked honeyeater,omnivore,54.50000000,https://birdsoftheworld.org/bow/species/spchon1/cur/introduction,Amyema quandang (mistletoe) fruit with dye,fruit/nectar/pollen,6,1,Gut Passage Time: mean of eating to mean time of defecation,15.81666667,,,40.56666667,,84.16666667,,0.60000000,,,,Murphy et al 1993,not quite MGT (mean time of eating to mean defecation) but comparable,,Yes
Y,Mammalia,Chiroptera,188.00000000,Phyllostomidae,Anoura geoffroyi,Geoffrey's tailless bat,omnivore,14.50000000,mean as reported in paper,Columnar cactus,fruit/nectar/pollen,5,1,"TT: transit time, time from feeding to first appearance in feces",86.00000000,,,108.00000000,,,26.50000000,,,,,Herrera and Martinez del Rio 1998,Fed pollen solutions,,Yes
Y,Mammalia,Chiroptera,188.00000000,Phyllostomidae,Anoura geoffroyi,Geoffrey's tailless bat,omnivore,14.40000000,mean as reported in paper,P. ellipticum,fruit/nectar/pollen,6,1,"TT: transit time, time from feeding to first appearance in feces",51.00000000,,,127.50000000,,,12.50000000,,,,,Herrera and Martinez del Rio 1998,Fed pollen solutions,,Yes
Y,Mammalia,Chiroptera,188.00000000,Phyllostomidae,Anoura geoffroyi,Geoffrey's tailless bat,omnivore,15.00000000,mean as reported in paper,H. undatus,fruit/nectar/pollen,11,1,"TT: transit time, time from feeding to first appearance in feces",63.00000000,,,105.00000000,,,45.75000000,,,,,Herrera and Martinez del Rio 1998,Fed pollen solutions,,Yes
Y,Mammalia,Chiroptera,188.00000000,Phyllostomidae,Artibeus jamaicensis,Jamaican fruit bat,frugivore/nectarivore,39.90000000,mean as reported in paper,Columnar cactus,fruit/nectar/pollen,5,1,"TT: transit time, time from feeding to first appearance in feces",82.00000000,,,120.75000000,,,28.75000000,,,,,Herrera and Martinez del Rio 1998,Fed pollen solutions,,Yes
